Ticker,Summary,Sentiment,Sentiment Score,URL
ETH,Consumer price index rose by 0.3% in November. Ripple’s stablecoin approval strengthens investor confidence,POSITIVE,0.999015212059021,https://finance.yahoo.com/news/cryptocurrency-market-soars-bitcoin-hits-070332607.html
ETH,"Ethereum up close to 60% since election night, more than Bitcoin.",POSITIVE,0.8821792602539062,https://finance.yahoo.com/news/buy-ethereum-below-4-500-121000149.html
ETH,World Liberty Financial has recently bought crypto assets. President-elect’s pro-crypto stance is clear in his appointments,POSITIVE,0.9980270266532898,https://finance.yahoo.com/news/president-trump-boosts-crypto-speculation-045001849.html
ETH,Consumer price index up 2.7% from a year ago. Traders now see the odds of a rate cut at 94.9%,NEGATIVE,0.9639620780944824,https://finance.yahoo.com/news/why-bitcoin-ethereum-dogecoin-popped-203218258.html
ETH,Largest issuer of Ethereum ETFs acquired via Coinbase Prime. Both firms are seeking regulatory approval to launch spot trading options,NEGATIVE,0.9760296940803528,https://finance.yahoo.com/news/blackrock-fidelity-purchase-500-million-070916991.html
ETH,Fundstrat’s Sean Farrell sees ‘Goldilocks’ conditions for crypto. ‘ marginal buyer’ for Ethereum: Fundstrat’s Farrell,NEGATIVE,0.9663241505622864,https://finance.yahoo.com/news/ethereum-primed-breakout-according-top-223856563.html
ETH,"Ether supply has reached highest since April 2023, transaction fees are rising. Investors are set up to pay $5,000 for the token",POSITIVE,0.9544042348861694,https://finance.yahoo.com/news/ethereum-ether-headed-5k-activity-132615516.html
ETH,Your information may be shared with third parties.,NEGATIVE,0.9903545379638672,https://www.google.com/search?q%3Dyahoo%2Bfinance%2BETH%26tbm%3Dnws%26pccc%3D1
ETH,We are aware of the issue and are working to resolve it.,POSITIVE,0.9979088306427002,https://finance.yahoo.com/video/btc-eth-sol-hit-time-220734096.html
ETH,Analysts see Ethereum outperforming Bitcoin after halving. Ether’s value has underperformed Bitcoin for about eight months,NEGATIVE,0.9969673752784729,https://finance.yahoo.com/news/ethereum-set-reach-time-high-075636772.html
ETH,Bitwise seeks to list Bitcoin and Ethereum ETF. Competition for crypto index funds is intensifying,NEGATIVE,0.8585340976715088,https://finance.yahoo.com/news/sec-seeks-industry-feedback-nyse-071144132.html
